AverageTimeTaken,NumAttempts,NumCorrectAttempts,Label
24.60723242676091,2,2,Easy
137.67449646527587,5,1,Hard
190.37031441217223,7,1,Hard
399.02660026885553,8,1,Hard
430.48721360098745,7,1,Hard
524.2038792089807,5,0,Hard
13.252579649263975,1,2,Easy
340.4864678141628,7,0,Hard
16.97469303260209,2,4,Easy
409.3353033711833,10,1,Hard
37.13480415791243,3,2,Easy
16.876047207299663,2,3,Easy
26.266516538163216,3,3,Easy
281.11683110254233,5,0,Hard
408.9289898596609,10,0,Hard
539.6724503301202,6,1,Hard
48.54835899772805,1,2,Easy
26.160146601037763,2,2,Easy
40.59264473611897,2,4,Easy
400.68773085559377,10,0,Hard
40.37724259507192,1,3,Easy
19.79914312095726,4,2,Easy
261.3570944829263,10,1,Hard
12.322520635999886,4,3,Easy
15.502596226383838,3,2,Easy
45.15094794475889,3,4,Easy
328.53688535437027,8,0,Hard
376.52328179161105,5,1,Hard
517.9988259391268,8,0,Hard
28.727005942368123,4,2,Easy
559.3220840011711,10,1,Hard
30.519146151781488,4,4,Easy
393.1591051995589,5,0,Hard
25.043915490838483,2,4,Easy
15.979712296915086,4,4,Easy
502.3064523234611,9,1,Hard
383.3833484195561,5,0,Hard
557.026213633571,7,0,Hard
38.063859878474815,2,2,Easy
548.1105162128528,7,0,Hard
35.71172192068058,4,2,Easy
458.44049486239675,9,0,Hard
536.7845313770817,9,1,Hard
398.2319685464344,9,1,Hard
400.87177551622653,7,0,Hard
42.999202301708955,3,2,Easy
21.324788759896897,2,2,Easy
366.3965609723486,5,0,Hard
14.883605700319194,4,4,Easy
53.86696766904905,2,4,Easy
28.318092164684586,3,2,Easy
15.394571349665222,4,4,Easy
290.8759124505533,5,0,Hard
231.94947476377337,9,1,Hard
54.354321213255865,4,3,Easy
563.8287985073262,7,1,Hard
310.3927689380409,10,0,Hard
454.8804353745272,10,0,Hard
371.32909248720534,10,1,Hard
50.40601897822085,2,3,Easy
163.68100370463853,5,0,Hard
11.27095633720476,1,2,Easy
59.282522705530035,1,4,Easy
561.2047448810686,6,0,Hard
58.589104136048036,2,2,Easy
22.464611457443745,1,4,Easy
403.1788306260653,10,1,Hard
300.83470557021155,10,0,Hard
525.3315228641418,10,1,Hard
220.3827797176868,9,1,Hard
14.655138390294962,1,4,Easy
22.89708138575778,2,3,Easy
12.038757077738197,3,2,Easy
563.5400443715679,8,0,Hard
19.242722776276352,2,2,Easy
312.10698857857193,8,1,Hard
340.8571963121146,7,0,Hard
135.26624711287926,5,1,Hard
267.73307509010374,9,1,Hard
